FID,name,latitude,longitude
257,Cas Hypermart,14.0647001,121.3229980
258,K Plaza Supermarket,14.6259003,121.0370026
259,Robinsons Supermart,14.5904999,121.0950012
260,Tacurong Fitmart,6.6878099,124.6780014
261,Ever Supermarket,14.6091003,120.9789963
262,"Cang's,inc.",9.3157301,123.3020020
263,Puregold Jr.,14.5886002,121.1760025
264,Central Warehouse,8.0537300,126.0579987
265,Shopwise,14.5627003,120.9889984
266,Rey-Sal Supermarket,14.3393002,121.0839996
267,Unitop,8.2286701,124.2379990
268,Squarre Land,8.2279396,124.2419968
269,LCC Supermarket,13.1461000,123.7440033
270,Unimec Supermart,14.5481997,121.0630035
271,City Square,9.6422997,123.8560028
272,BQ Mall,9.6419201,123.8550034
273,Fooda Hypermart,10.3729000,123.9550018
274,Robinsons Supermarket,10.3409004,123.9130020
275,National Bazaar Grocery,16.6170998,120.3160019
276,Ever Gotesco Supermarket,14.6782999,121.0859985
277,GL Supermarket,14.6402998,121.0169983
278,Carpark Service Elevator,14.3021002,120.9570007
279,Highmart Supermarket,14.6111002,121.0049973
280,WalterMart,14.4715996,121.0070038
281,FCI Citi Mall,17.6117001,121.7289963
282,Candice Supermarket,17.6130009,121.7289963
283,Luvel's,14.0840998,121.1500015
284,Robinson Super Market,17.1289997,121.8659973
285,Puregold,15.7695999,119.9079971
286,Jumbo Jenra Supermarket Sindalan,15.0797005,120.6380005
287,Rustan's Supermarket,10.3182001,123.9049988
288,Rustan's Supermarket,14.6428003,121.0739975
289,NCCC Choice Supermarket,7.0683999,125.6039963
290,SM Hypermarket,14.3835001,120.9769974
291,CTBAC,10.6684999,122.9479980
292,Robinson Supermarket,14.6792002,120.5410004
293,Bilwang New Mini Mart,10.8816996,124.4700012
294,Robinsons Department Store and Supermarket,14.6087999,120.9729996
295,Savers' Supermarket,14.0698996,120.6320038
296,CSI Candon,17.1835003,120.4449997
297,Citizen's Grocery,17.1896992,120.4479980
298,Gaisano Grand Mall,7.4453101,125.8109970
299,Centro Mart,13.4565001,123.6800003
300,Prince Warehouse Club,10.5248003,124.0120010
301,Rose Supermarket,15.9301004,120.3479996
302,Csi Citymall,16.0235004,120.3229980
303,Csi Citymall,16.0238991,120.3229980
304,Robinson Supermarket,15.0501003,120.6989975
305,Rosing's,13.4744997,121.8619995
306,Gaisano Supermarket,10.7069998,122.5670013
307,Centro,14.0698004,121.3249969
308,Gaisano Capital Oton,10.6913996,122.4700012
309,Ever,14.6865997,120.9960022
310,Anda Public Mrket,16.2896996,119.9489975
311,CVC Supermarket,14.7077999,120.9919968
312,Choice Mart,7.0742202,125.5189972
313,Ace Centerpoint,6.4998002,124.8450012
314,Hypermarket,14.6181002,121.0009995
315,Save More,14.6927004,120.9639969
316,LCC Expressmart,13.1485996,123.7529984
317,Cangs,9.3079901,123.3069992
318,Imperial Appliance Plaza,14.4379997,121.0039978
319,Geolie Metro Plaza,9.4173698,123.3330002
320,SM Supermarket,14.6267004,121.0839996
321,Robinsons,8.4821796,124.6539993
322,ER Super Mall,6.9564400,126.2129974
323,ER Superstore,6.9504099,126.2200012
324,Unitop Maguikay,10.3355999,123.9390030
325,Gaisano Roxas Marketplace,11.5790997,122.7570038
326,Gaisano Supermarket SukiClub,8.4780598,124.6510010
327,Quality Appliance Plaza,8.4781704,124.6480026
328,SM Marketplace,14.5663004,121.0289993
329,SaveMore,14.1705999,121.2440033
330,SM Savemore,14.6014996,120.9810028
331,SaveMore,14.5508003,120.9970016
332,Cagayan Balita Marketing,8.4786596,124.6529999
333,MS Supermarket,13.9454002,121.1620026
334,Wellcome,14.5682001,121.0859985
335,Tropical Hut Foodmart,14.5057001,121.0410004
336,SM City Supermarket,8.4560003,124.6230011
337,Robinsons Supermarket,14.6104002,121.0810013
338,Shama School of BulacanVilla Samantha Home,14.7299004,120.9769974
339,Robinsons Place Novaliches,14.7363997,121.0569992
340,Robinson's Supermarket - Silang,14.2131996,120.9680023
341,Mightee Mart,14.5784998,121.0820007
342,SM Hypermart,14.5649004,121.1389999
343,Puregold Hagonoy,14.8357000,120.7330017
344,Mary's Corner Grocery Store,14.5993004,120.9840012
345,Puregold Baguio,16.4130993,120.5790024
346,Siolan Supermarket,14.7898998,120.5390015
347,Tiongsan Supermarket,16.4130993,120.5950012
348,Rustan`s Fresh,8.4854097,124.6520004
