FID,name,tourism,longitude,latitude,Province
1800,Mariveles View Park,attraction,120.5199966,14.4306002,Bataan
1801,lord of pardon hills,attraction,124.4020004,9.7051497,Bohol
1802,I ♥ Gen. Mariano Alvarez,attraction,121.0070038,14.2954998,Cavite
1803,GLOREM,attraction,121.1529999,14.6800003,Rizal
1804,Communal Ranch,attraction,125.0299988,8.3050404,Bukidnon
1805,Site,attraction,121.3059998,18.4619999,Cagayan
1806,Nena's Resort,attraction,121.2870026,18.5373993,Cagayan
1807,KAYANGAN LAKE,attraction,120.2259979,11.9593,Palawan
1808,CALAUIT SAFARI PARK WHARF,attraction,119.887001,12.2636995,Palawan
1809,Magellan's Cross,attraction,123.9020004,10.2936001,Cebu
1810,Nag-aso Lake,attraction,123.9160004,13.1005001,Albay
1811,Carandang Beach Resort,attraction,123.4820023,12.4843998,Masbate
1812,Batanguenios Firing Range,attraction,121.1399994,13.8801003,Batangas
1813,SAN ROQUE CHAPEL and SPORT COMPLEX,attraction,123.9339981,10.2793999,Cebu
1814,Salt Point,attraction,125.0960007,5.9399099,Sarangani
1815,Ubugon Cove,attraction,119.3460007,11.2142,Palawan
1816,The palms peak resort,attraction,121.1350021,13.8141003,Batangas
1817,NIA Dam Bansalan,attraction,125.2310028,6.8207698,Davao del Sur
1818,Seawage Gym,attraction,123.9700012,10.3171997,Cebu
1819,Bella Glee,attraction,125.0619965,8.7258997,Misamis Oriental
1820,El Kini Hot Spring,attraction,124.8740005,6.08917,South Cotabato
1821,Abdulmadid Maruhom Mosque,attraction,124.1490021,7.6803198,Lanao del Sur
1822,Balabagan Grand Mosque,attraction,124.1279984,7.5068002,Lanao del Sur
1823,kawayan cliff beach,attraction,124.2850037,8.4636002,Misamis Oriental
1824,Barangay Bayaan,attraction,120.7149963,17.6534996,Abra
1825,1st Curve,attraction,123.8560028,10.2924995,Cebu
1826,2nd Curve,attraction,123.8550034,10.2927999,Cebu
1827,3rd Curve,attraction,123.8550034,10.2931995,Cebu
1828,Holy redeemer village association,attraction,121.0159988,14.6077003,Metro Manila
1829,186-28,attraction,121.0159988,14.6182003,Metro Manila
1830,Area 3,attraction,121.0159988,14.6182003,Metro Manila
1831,Alley 2 & 3,attraction,121.0279999,14.6512003,Metro Manila
1832,NOVA HOMES,attraction,121.0370026,14.7342997,Metro Manila
1833,Maine City Homes,attraction,121.0780029,14.6767998,Metro Manila
1834,DIAMOND HOMES,attraction,121.0759964,14.6756001,Metro Manila
1835,Sagana condo 1 inc cpd,attraction,121.0530014,14.665,Metro Manila
1836,KAUNLARAN CPD,attraction,121.0899963,14.6995001,Metro Manila
1837,Kaunlaran st,attraction,121.0899963,14.6995001,Metro Manila
1838,Fly a Gyro Cebu,attraction,123.4209976,10.0108995,Cebu
1839,Sammar area1,attraction,121.0690002,14.6689997,Metro Manila
1840,montgomery place,attraction,121.0210037,14.6211004,Metro Manila
1841,Oslob whale shark watching,attraction,123.3789978,9.4620895,Cebu
1842,Mirror Of The World,attraction,123.9749985,9.6705799,Bohol
1843,Samal inland,attraction,125.7190018,7.1029,Davao del Norte
1844,Pagadian City Rotonda,attraction,123.4339981,7.8397999,Zamboanga del Sur
1845,Rotonda's Dancing Fountains,attraction,123.4339981,7.8391299,Zamboanga del Sur
1846,Lebumfacil - Veloso Park,attraction,123.612999,10.3577995,Cebu
1847,Pook Libis,attraction,121.0660019,14.6412001,Metro Manila
1848,Shimizu Beach,attraction,119.3190002,11.1396999,Palawan
1849,Pamintuan,attraction,120.9629974,15.1206999,Pampanga
1850,BORRES INN,attraction,125.5770035,7.16046,Davao del Sur
1851,Neil's New House,attraction,125.637001,7.1134501,Davao del Sur
1852,Sandugan Marine Sanctuary,attraction,123.5999985,9.29844,Siquijor
1853,sunflower farm,attraction,122.7190018,10.9447002,Iloilo
1854,tobog beach resort,attraction,122.0749969,10.5305004,Iloilo
1855,mapols farm,attraction,122.6179962,10.9504995,Iloilo
1856,Phoebus Amusement Park,attraction,125.3830032,7.1335902,Davao del Sur
1857,Way in floen beach resort,attraction,120.3929977,14.5726004,Bataan
1858,Pansol,attraction,121.1829987,14.1785002,Laguna
1859,Monbon Island,attraction,125.4690018,11.6452999,Eastern Samar
1860,Abra tunnel,attraction,120.5080032,17.4944992,Ilocos Sur
1861,Banuar Cave,attraction,121.5630035,16.5060997,Quirino
1862,secret lagoon,attraction,123.5490036,9.18577,Siquijor
1863,cave,attraction,123.5490036,9.13972,Siquijor
1864,Century Old Balete Tree,attraction,123.5749969,9.1209297,Siquijor
1865,Mt. Bandilaan National Park,attraction,123.5839996,9.1904602,Siquijor
1866,Cabugsayan falls,attraction,123.6149979,9.1333799,Siquijor
1867,Candon beach resort,attraction,120.4189987,17.1968994,Ilocos Sur
1868,Maasin Bridge,attraction,126.0559998,9.8214502,Surigao del Norte
1869,JA Highland Farm,attraction,124.5839996,7.5248098,Cotabato
1870,Orok Cold Spring Resort,attraction,124.060997,12.8051004,Sorsogon
1871,Colors of STOBOSA,attraction,120.5970001,16.4337997,Benguet
1872,FREE SNORKEL,attraction,123.7689972,9.6145401,Bohol
1873,CLIFF JUMP INTO SARDINES,attraction,123.7740021,9.6181402,Bohol
1874,CLIFF JUMP,attraction,123.7740021,9.6182404,Bohol
1875,Kampo Juan Eco Adventure Park,attraction,124.8499985,8.3969297,Bukidnon
1876,Animal torment DON'T GO THERE,attraction,124.0749969,9.6622696,Bohol
1877,TUBOD MARINE SANCTUARY ,attraction,123.5100021,9.1401196,Siquijor
1878,Cica Arena Cock Derby,attraction,120.151001,12.0495996,Palawan
1879,JVS Audio System,attraction,125.612999,7.0817599,Davao del Sur
1880,the Edge-bali,attraction,122.7160034,11.6083002,Capiz
1881,Diving spot 2,attraction,123.362999,9.9421101,Cebu
1882,Diving spot 1,attraction,123.3440018,9.9218998,Cebu
1883,Fishermen’s point,attraction,121.560997,15.7708998,Aurora
1884,Tuason Point,attraction,126.1689987,9.80861,Surigao del Norte
1885,Diving spot 2,attraction,123.3590012,9.9386997,Cebu
1886,Diving spot 2,attraction,123.362999,9.9416199,Cebu
1887,Bent Palm Tree - Maasin Bridge,attraction,126.0559998,9.8214397,Surigao del Norte
1888,Gracia Resort,attraction,123.1110001,10.9463997,Negros Occidental
1889,Mangro Grove at the Islands...,attraction,120.9840012,14.3017998,Cavite
1890,House of Mugs,attraction,122.8450012,10.5312996,Negros Occidental
1891,Ayuste Nature Park Sea of Clouds,attraction,126.1470032,7.2686501,Compostela Valley
1892,Tagbibinta Falls,attraction,126.1719971,7.3164001,Compostela Valley
1893,Wishing Well,attraction,121.1589966,16.4874992,Nueva Vizcaya
1894,Bohol Tarsier,attraction,123.9520035,9.6872797,Bohol
1895,Straight Coconut Street,attraction,126.0550003,9.8169403,Surigao del Norte
1896,Maasin Bridge,attraction,126.0559998,9.8214598,Surigao del Norte
1897,Secret local Lagoon,attraction,123.5490036,9.1856098,Siquijor
1898,FarmPlate,attraction,123.7160034,13.1287003,Albay
1899,Doot Beach,attraction,126.1139984,9.7570105,Surigao del Norte
1900,Tierra maze,attraction,125.1910019,6.1862502,South Cotabato
1901,MGG Resort,attraction,124.848999,7.8020501,Bukidnon
1902,Mermaid Atimonan QP,attraction,121.9339981,13.9968004,Quezon
1903,Bakwitan Cave,attraction,123.3499985,11.6143999,Iloilo
1904,sigzag road East,attraction,121.8339996,13.9953003,Quezon
1905,Bondoc Peninsula Arch,attraction,121.8010025,13.9790001,Quezon
1906,Skull cave,attraction,124.0910034,11.5177002,Cebu
1907,Biak na bato,attraction,121.0849991,15.1190004,Bulacan
1908,Tila Pilon Hills,attraction,121.1139984,15.1225996,Bulacan
1909,MaRiLaQue Hiway,attraction,121.2600021,14.6227999,Rizal
1910,Zendy Toston Shelter,attraction,124.1389999,10.1051998,Bohol
1911,Boracay Wetland Conservation Park,attraction,121.9229965,11.974,Aklan
1912,Bataan World War II Museum,attraction,120.5459976,14.6808996,Bataan
1913,cliff 2,attraction,123.1589966,10.7341003,Negros Occidental
1914,Calamba Farm Sea of Clouds,attraction,126.1470032,7.2645402,Compostela Valley
1915,Tinuy-an,attraction,126.2279968,8.1718998,Agusan del Sur
1916,Bamboo Garden Spring,attraction,126.1589966,7.4929299,Compostela Valley
1917,Wood's Camp Resort,attraction,124.0830002,12.7392998,Sorsogon
1918,JARKS BEACH RESORT,attraction,125.8410034,7.2836299,Compostela Valley
1919,TENT CITY,attraction,124.5839996,7.5243201,Cotabato
1920,Top View,attraction,124.5999985,7.5226598,Cotabato
1921,Balete Tree of Mabitac,attraction,121.3789978,14.4526997,Laguna
1922,Beach,attraction,123.8300018,9.5784502,Bohol
1923,Perfect beach,attraction,123.8310013,9.5784397,Bohol
1924,Mainit Sulfuric Hot Spring,attraction,126.0289993,7.4012699,Compostela Valley
1925,Lake Leonard Eco-Tourism Park,attraction,126.0579987,7.3979201,Compostela Valley
1926,Whale shark watching and snorkeling,attraction,124.0719986,9.5892801,Bohol
1927,Montevista,attraction,125.9889984,7.7042999,Compostela Valley
1928,Montevista Municipal,attraction,125.9889984,7.7044702,Compostela Valley
1929,Mahaba Beach,attraction,125.0149994,10.0165997,Southern Leyte
1930,Tyson aunty flor tayud,attraction,123.9990005,10.3803997,Cebu
1931,Eden South Beach Resort,attraction,122.4690018,9.5952597,Negros Occidental
1932,Stairs up to the mountain and to lapus lapus beach,attraction,119.3850021,11.1789999,Palawan
1933,bamboo bridge,attraction,124.0479965,9.6755896,Bohol
1934,Long Beach Resort,attraction,120.8769989,14.4506998,Cavite
1935,Long Beach Resort,attraction,120.8769989,14.4507999,Cavite
1936,Dream Weavers Hill,attraction,124.7300034,6.2039599,South Cotabato
1937,Lumban Town Marker,attraction,121.4729996,14.3154001,Laguna
1938,Ocampo Deer Farm,attraction,123.4229965,13.6032,Camarines Sur
1939,Monkey Beach,attraction,123.6949997,9.1342201,Siquijor
1940,Tuwato Monolith,attraction,120.6350021,17.0291004,Ilocos Sur
1941,Tuwato Summit,attraction,120.6360016,17.0317001,Ilocos Sur
1942,Timangguyob Falls,attraction,120.2819977,15.6438999,Pangasinan
1943,Mapita farms,attraction,120.2259979,15.8648005,Pangasinan
1944,San jose village,attraction,121.0169983,14.6667004,Metro Manila
1945,"Masagana, evergreen, pangakong lupa brgy pasong tamo entrance",attraction,121.0490036,14.6771002,Metro Manila
1946,San pedro 10,attraction,121.0459976,14.6826,Metro Manila
1947,Paraoir Man Made Forest,attraction,120.3310013,16.8150997,La Union
1948,Mother Tree,attraction,118.5970001,9.8216,Palawan
1949,million yearold tree,attraction,120.9339981,13.8631001,Batangas
1950,Anda Scuba Diving,attraction,124.5579987,9.7305098,Bohol
1951,Anda Scuba Diving,attraction,124.5579987,9.7304697,Bohol
1952,Alicia's Ridge,attraction,125.435997,8.8648996,Agusan del Norte
1953,Alilem Municipal Hall,attraction,120.5309982,16.8868008,Ilocos Sur
1954,Ellen's Garden,attraction,123.9840012,10.3899002,Cebu
1955,224 d,attraction,121.0070038,14.6458998,Metro Manila
1956,dragon1,attraction,125.6220016,7.1156502,Davao del Sur
1957,Anda Scuba Diving,attraction,124.5579987,9.7303104,Bohol
1958,Jinland swimming pool,attraction,125.1210022,8.7132397,Misamis Oriental
1959,Dove Monument,attraction,120.3259964,14.8493996,Zambales
