FID,amenity,name,latitude,longitude
190,restaurant,Melo's Steakhouse,14.6407003,121.0370026
191,restaurant,Pancake House,14.6402998,121.0739975
192,restaurant,Sizzlin' Pepper Steak,14.6393995,121.0739975
193,restaurant,The Fat Persian,14.6393995,121.0739975
194,restaurant,Teriyaki Boy,14.6386995,121.0739975
195,restaurant,Craving's,14.6352997,121.0739975
196,restaurant,Chicken Bacolod,14.6396999,121.0739975
197,restaurant,The Old Spaghetti House,14.6396999,121.0739975
198,restaurant,Tapa King,14.6392002,121.0739975
199,restaurant,Flaming Wings,14.6394997,121.0739975
200,restaurant,Sweet Inspirations,14.6384001,121.0739975
201,restaurant,Yellow Cab,14.6392002,121.0739975
202,restaurant,Chateau Hestia Garden Restaurant,14.1450005,120.9739990
203,restaurant,Amoroma,14.1264000,120.9789963
204,restaurant,Cafe 5R resto,11.2742996,124.0640030
205,restaurant,Gerry's Grill,7.0784702,125.6139984
206,restaurant,Pizza Hut,7.0784101,125.6129990
207,restaurant,Felis Beach Resort Complex,7.0409598,125.5729980
208,restaurant,Twin H Beach Resort,7.0423698,125.5839996
209,restaurant,Yahong,7.0822501,125.6100006
210,restaurant,Cubyertos,7.0823202,125.6100006
211,restaurant,La Grotta Italian Restaurant,10.4913998,123.4000015
212,restaurant,Moms Small Hotel And Restaurant,10.4863005,123.4150009
213,restaurant,Waddy's Place,10.5221004,123.3270035
214,restaurant,Swiss Deli,7.1011200,125.6330032
215,restaurant,Yellow Cab Pizza Co.,7.1018701,125.6330032
216,restaurant,Merco,7.1023502,125.6330032
217,restaurant,Viewpoint Restaurant and Inn,14.0881004,120.9059982
218,restaurant,Tower Ground Bulalohan,14.0906000,120.9120026
219,restaurant,Kanin Club,14.2484999,121.0640030
220,restaurant,Poquito Mas,14.2489004,121.0640030
221,restaurant,Pancake House,14.2491999,121.0640030
222,restaurant,Bernadette's Lechon,10.3105001,123.9150009
223,restaurant,Jo's Chicken Inasal,10.3259001,123.9229965
224,restaurant,Mikado Japanese Restuarant,10.3216000,123.9039993
225,restaurant,Balaw Balaw Specialty Restaurant,14.5276003,121.1579971
226,restaurant,Exotik Restaurant,14.3402996,121.4830017
227,restaurant,Tio Pedro's Mexican Restaurant,14.4493999,121.0299988
228,restaurant,Pizza Hut,14.4448004,121.0289993
229,restaurant,Herencia De Paoay,18.0625000,120.5199966
230,restaurant,Apung Kula,7.0672698,125.6080017
231,restaurant,Honey Bear Chicken House,7.0750899,125.6110001
232,restaurant,Harinok,7.0665898,125.6090012
233,restaurant,Paterno's,7.0674601,125.6159973
234,restaurant,New Asia Restaurant,7.0746999,125.6129990
