FID,name,latitude,longitude
191,AB Liner - Tagkawayan Terminal,13.967,122.5410004
192,Shangrila's Main Gate,10.3101997,124.0199966
193,Tacloban - Abucay New Bus Terminal,11.2461996,125
194,Marihatag Transport Terminal,8.8011303,126.2979965
195,Dipolog City Public Transport Terminal,8.5776901,123.3389969
196,Bus Station,16.6949997,121.5550003
197,PARTODA,14.6576004,121.1080017
198,PATODA I,14.6587,121.1139984
199,AUP Motor Pool,14.2205,121.0449982
200,Rural Transit - Dipolog Terminal,8.5672503,123.3399963
201,Jeepney Terminal,8.5094099,125.9759979
202,Antipolo FX Transport Terminal,14.566,121.1409988
203,RTN CBNC,8.5346203,117.4329987
204,Victory Liner - Roxas Terminal,17.1168995,121.6149979
205,"Sergio Osmeña, Sr. Integrated Bus Terminal",8.2993202,123.5039978
206,Molave Integrated Bus and Jeepney Terminal,8.0972004,123.4889984
207,Bus Station,14.0862999,121.1490021
208,Virac Jeep and Bus Terminal,13.5789003,124.2289963
209,Baliwasan Terminal,6.9054399,122.0749969
210,Labuan Limpapa,6.9057102,122.0739975
211,San Roque Terminal,6.9045901,122.0719986
212,Southcom Terminal,6.9049602,122.0719986
213,RSL Bus Ticketing Station,13.5978003,124.0970001
214,Ceres Liner - Bato Terminal,9.4545498,123.3040009
215,Tungawan Integrated Bus Terminal,7.6014299,122.4280014
216,Tabaco City Jeepney Terminal,13.3573999,123.7300034
217,Ohayami & Codalines - Banaue Terminal,16.9116993,121.060997
218,South Supermarket Filcab Station,14.4089003,120.9400024
219,Lancaster Filcab Station,14.4045,120.9039993
220,Victory Liner - Tuao Terminal,17.7329998,121.461998
221,Victory Liner - Tarlac Terminal,15.4798002,120.5960007
222,Bus Stop,15.1618004,120.9720001
223,Ballesteros Bus Line - Ballesteros Terminal,18.4099998,121.5130005
224,GV Florida Bus Station,18.2271996,121.5589981
225,Aniceto Bus Line - Vigan Terminal,17.5709991,120.3850021
226,Bontoc - Sagada,17.0881004,120.9769974
227,San Agustin (Pasay City),14.5363998,121.0009995
228,Araneta City Jeepney Terminal,14.6177998,121.0540009
229,Tacloban City Land Transport Terminal,11.2391005,124.987999
230,Bontoc - Maligcong,17.0898991,120.9759979
231,Bontoc - Abatan - Bauko,17.0898991,120.9769974
232,Bontoc - Tocucan,17.0904007,120.9779968
233,Genesis Transport - Baler Terminal,15.7536001,121.5599976
